Minerds Bell Consultancy Group - Analysis of North FUA - 07-11-2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Product,MyNorth Investment,MyNorth Lifetime Income,MyNorth Pension,MyNorth Super,North Investment,North Personal Pension,North Personal Superannuation,Total,,
,,,,,,,,,,,
Cash / TDs,Investment ,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA $,% of total FUA
,Platinum Japan Fund,58651.96,,43868.32,58550.26,,7270.9,,168341.44,,
,Plato Australian Shares Income Fund,,,114352.99,,,8047.46,,122400.45,,
,Plato Global Alpha Fund,,,4338.73,45760,,,,50098.73,,
,Plato Global Shares Income Fund - Class F,,,9883.31,,,,,9883.31,,
,Qantas Airways Limited Ordinary Fully Paid,,,,1553.91,,,,1553.91,,
,QBE Insurance Group Limited Ordinary Fully Paid,,,,1514.1,,,,1514.1,,
,Qube Holdings Limited Ordinary Fully Paid,,,,11910.24,,,,11910.24,,
,Ramsay Health Care Limited Ordinary Fully Paid,,,,45744.02,,,,45744.02,,
,REA Group Ltd Ordinary Fully Paid,,,,844.86,,,,844.86,,
,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,,,,61.32,,,,61.32,,
,RIO Tinto Limited Ordinary Fully Paid,,,,1976.11,,,,1976.11,,
,Russell Global Opportunities (Class A) Fund,,,,24861.54,,,,24861.54,,
,Russell Investments Australian Government Bond Etf Russell Investments,,,,6890.56,,,,6890.56,,
,Russell Investments Australian Select Corporate Bond Etf Russell Inves,,,,1097.32,,,10049.34,11146.66,,
,Russell Investments Global Listed Infrastructure Fund - Hedged,,,,5984.07,,,,5984.07,,
,Russell Investments Multi-Asset Growth Strategy Fund - Class A,,,,40052.54,,,,40052.54,,
,Santos Limited Ordinary Fully Paid,,,6509.6,16558.4,,,,23068,,
,Scentre Group Fully Paid Ordinary/Units Stapled Securities,,,4924.78,,,,,4924.78,,
,Schroder Absolute Return Income Fund,8151.02,,82698.98,5266.93,44520.61,,,140637.54,,
,Schroder Australian Equity Fund,33377.56,,72932.83,123636.27,,,,229946.66,,
,Schroder Australian Equity Fund (W),1608234.83,11482.76,7714262.99,2602697.94,182235.43,1122066.36,113677.31,13354657.62,,
,Schroder Fixed Income Fund - Client Class,,,63781.48,74194.53,,,,137976.01,,
,Schroder Fixed Income Fund - Professional Class,,,10465.1,72429.17,,,1284.3,84178.57,,
,Schroder Fixed Income Fund (W),496802.28,,916319.06,236122.79,25768.58,47120.95,1557.82,1723691.48,,
,Schroder Global Emerging Markets,55478.63,,,17813.27,,,,73291.9,,
,Schroder Real Return Fund,,,,48180.69,,,,48180.69,,
,SGH Limited Ordinary Fully Paid,,,,1059.53,,,,1059.53,,
,Sims Limited Ordinary Fully Paid,,,,15064.92,,,,15064.92,,
,Skycity Entertainment Group Limited Ordinary Fully Paid Foreign Exempt Nzx,,,,14898.21,,,,14898.21,,
,South32 Limited Ordinary Fully Paid,,,2406.94,3729.7,2210.64,1005.66,,9352.94,,
,Suncorp Group Limited Ordinary Fully Paid,,,,1058.75,,,,1058.75,,
,Talaria Global Equity Fund,12433.43,,172567.44,50490.79,,,,235491.66,,
,Telstra Group Limited Ordinary Fully Paid,,,15589.25,60521.26,,,,76110.51,,
,Transurban Group Fully Paid Ordinary/Units Stapled Securities,,,,2652.67,,,,2652.67,,
,Treasury Wine Estates Limited Ordinary Fully Paid,,,,2037,,,,2037,,
,Tyndall Australian Share Wholesale Fund,32318.75,,,,,3133.64,,35452.39,,
,UBS Australian Bond Fund ,10900.64,,16696.88,,,10517.19,,38114.71,,
,UBS Australian Small Companies Fund,,,11003.05,,,,,11003.05,,
,UBS Cash Fund ,92273.24,,504465.76,261410.79,4721.12,167096.84,1232.84,1031200.59,,
,UBS Diversified Fixed Income Fund ,,,44652.97,,,,,44652.97,,
,UBS Key Inv (W) International Bond Fund,,,,129023.47,,,,129023.47,,
,Unibail-Rodamco-Westfield Cdi 20:1 Foreign Exempt Xpar,,,1630,,,,,1630,,
,Vaneck Australian Property Etf Vaneck Australian Property Etf,,,,,,,19970.17,19970.17,,
,Vaneck Ftse International Property (Aud Hedged) Etf Vaneck Ftse International Property (Aud Hgd) Etf,,,,166.31,,,,166.31,,
,Vaneck Msci International Quality Etf Vaneck Msci International Qualit,,,23535.35,,,,,23535.35,,
,Vanguard All-World Ex-Us Shares Index Etf Vanguard All-World Ex-Us Sha,,,11044.05,11605.72,,,,22649.77,,
,Vanguard Australian Fixed Interest Index Etf Vanguard Australian Fixed,,,,396.74,,,,396.74,,
,Vanguard Australian Fixed Interest Index Fund (W) ,10099.66,,88902.39,78125.02,,,2335.19,179462.26,,
,Vanguard Australian Government Bond Index Fund,,,12365.88,170439.17,,6555.21,,189360.26,,
,Vanguard Australian Property Securities Index Etf Vanguard Australian ,,,,3239.01,,,,3239.01,,
,Vanguard Australian Shares Index Etf Vanguard Australian Shares Index ,,,,45599.86,,,,45599.86,,
,Vanguard Conservative Index Fund,,,49614.33,,,,,49614.33,,
,Vanguard Emerging Markets Shares Index Fund ,,,,52054.15,,,,52054.15,,
,Vanguard Ethical Conscious Australian Shares Fund,,,171904.44,,,,,171904.44,,
,Vanguard Ethically Conscious Global Aggregate Bond Index Fund,,,78755.71,128.48,,,,78884.19,,
,Vanguard Ethically Conscious Int. Shares Index Fund (AUD Hedged),,,,390.35,,,,390.35,,
,Vanguard Ethically Conscious International Shares Index,73891.66,,227589.12,,,,,301480.78,,
,Vanguard Ethically Conscious International Shares Index Etf Vanguard E,,,,31662.4,,,,31662.4,,
,Vanguard Ftse Emerging Markets Shares Etf Vanguard Ftse Emerging Marke,,,,3612.59,,,,3612.59,,
,Vanguard Global Aggregate Bond Index (Hedged) Etf Vanguard Global Aggr,,,29540.59,7505.5,,,,37046.09,,
,Vanguard Global Infrastructure Index Fund,,,16678.87,,,,,16678.87,,
,Vanguard Global Infrastructure Index Fund (Hedged),,,,2480.11,,,,2480.11,,
,Vanguard Global Value Equity Active Etf Vanguard Global Value Equity Active Etf,,,,5126.53,,,,5126.53,,
,Vanguard Growth Index Fund,,,52172.16,126056.07,,,,178228.23,,
,Vanguard International Fixed Interest Index Fund (Hedged) (W) ,,,53199.74,93068.34,,6749.21,2310.31,155327.6,,
,Vanguard International Property Securities Index Fund ,27709.49,,984325.22,376695.61,,,,1388730.32,,
,Vanguard International Property Securities Index Fund (Hedged) ,,,,32955.12,,,,32955.12,,
,Vanguard International Shares Index Fund (Hedged),,,,,,,55963.85,55963.85,,
,Vanguard Msci Australian Small Companies Index Etf Vanguard Msci Austr,,,,3880,,,,3880,,
,Vanguard Msci Index International Shares (Hedged) Etf Vanguard Msci In,,,,28689.28,,,,28689.28,,
,Vanguard Msci Index International Shares Etf Exchange Traded Fund Unit,,,,31282.3,,,,31282.3,,
,Vanguard Short Term Fixed Interest Fund,,,29967.67,,,,,29967.67,,
,Vanguard US Total Market Shares Index Etf Vanguard US Total Market Sha,,,13511.06,13850.24,,,,27361.3,,
,Walter Scott Global Equity Fund,,,91196.34,91650.53,,,2293.96,185140.83,,
,Walter Scott Global Equity Fund (Hedged),,,8282.06,10449.07,,,,18731.13,,
,Washington H. Soul Pattinson And Company Limited Ordinary Fully Paid,,,,10214.1,,,,10214.1,,
,Wesfarmers Limited Ordinary Fully Paid,,,56094.79,2998.42,,,,59093.21,,
,Western Asset Australian Bond Fund - Class A,103585.66,,71174.48,20311.4,,,,195071.54,,
,Westpac Banking Corporation Ordinary Fully Paid,,,47729.27,4141.48,,,,51870.75,,
,Wholesale Global Equity - Value Fund,,,,,,,3890.17,3890.17,,
,Wisetech Global Limited Ordinary Fully Paid,,,,858.09,,,,858.09,,
,Woodside Energy Group Ltd Ordinary Fully Paid,,,17913.92,4900.25,3321.12,2943.72,,29079.01,,
,Woolworths Group Limited Ordinary Fully Paid,,,57505.4,1487.75,,,,58993.15,,
,Worley Limited Ordinary Fully Paid,,,14117.4,,,,,14117.4,,
,Yarra Enhanced Income Fund - Class B,,,3611.33,,,,,3611.33,,
,ZIP CO Limited.. Ordinary Fully Paid,,,,56655.56,,,,56655.56,,
,Zurich Investments Global Growth Fund,,,31828.05,,,,,31828.05,,
,Zurich Investments Global Growth Share Fund - Class D,,,2159.03,24738,,,1608.51,28505.54,,
,Zurich Investments Global Thematic Share Fund ,62561.74,,1665438.02,698028.45,50652.24,201550.98,62404.02,2740635.45,,
,Zurich Investments Hedged Global Thematic Share Fund ,,,38116.94,70776.59,,13837.11,,122730.64,,
,Grand Total,35560746.21,161841.06,198620599.9,90203405.32,3451756.66,17212058.41,12604189.73,319846323.4,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,0.560303948
